ClientId: 1059
Textbook 8/17
Blu-Ray 3/3
Shoes 7/6
Textbook 3/7
Lamp 9/22
Phone 2/18
Lamp 2/10
MovieRental 7/3
Shoes 5/10
MovieRental 1/8
Lamp 7/17
Textbook 11/9
Phone 4/17
Lamp 10/20
Shoes 10/25
Phone 8/2
Blu-Ray 9/14
Shoes 4/9
MovieRental 4/23
Song 6/26
Song 3/1
Shoes 11/21
Textbook 6/2
Lamp 9/23
Lamp 11/24
Textbook 8/15
MovieRental 4/4
Shoes 2/4
Phone 11/19
MovieRental 5/22
Shoes 11/1
Song 9/8
Shoes 3/8
MovieRental 1/26
Blu-Ray 9/2
Shoes 7/17
Phone 7/19
Blu-Ray 9/20
Textbook 8/15
Song 8/17
Blu-Ray 1/2
Blu-Ray 3/25
MovieRental 1/24
Blu-Ray 10/18
Phone 1/18
Textbook 9/2
Shoes 4/11
MovieRental 9/25
Shoes 3/20
Shoes 3/17
Phone 3/18
Phone 3/10
Shoes 1/18
Song 10/18
Shoes 7/17
Textbook 5/20
Song 2/9
Shoes 4/23
MovieRental 3/15
Textbook 8/6
Lamp 3/21
Textbook 8/8
Lamp 7/4
Lamp 6/5
Phone 5/5
Lamp 7/12
Blu-Ray 4/2
MovieRental 5/3
Blu-Ray 4/19
Textbook 3/3
Shoes 11/3
Phone 9/9
Shoes 7/13
Blu-Ray 9/22
MovieRental 12/21
Phone 2/3
MovieRental 12/14
Textbook 1/26
Blu-Ray 10/26
Blu-Ray 1/15
Shoes 3/16
Song 12/5
MovieRental 9/4
Song 1/5
Lamp 11/23
Textbook 1/14
Textbook 12/6
Lamp 11/22
Shoes 1/15
Lamp 6/22
MovieRental 12/7
MovieRental 10/5
Lamp 10/17
Phone 3/12
MovieRental 2/15
Phone 12/7
Phone 9/7
Shoes 7/14
Shoes 9/20
Textbook 1/25
Blu-Ray 6/18
MovieRental 10/11
Phone 4/2
Song 3/20
Lamp 6/17
Lamp 10/11
Shoes 3/14
Lamp 8/6
Blu-Ray 11/3
Textbook 6/9
MovieRental 8/16
Blu-Ray 5/2
MovieRental 7/18
Blu-Ray 4/7
Lamp 7/3
Shoes 11/21
MovieRental 9/26
Phone 12/17
Textbook 11/21
Shoes 3/19
Shoes 4/21
Song 10/26
Shoes 4/17
Blu-Ray 7/10
Textbook 1/1
Shoes 10/6
Shoes 6/21
Phone 12/23
MovieRental 8/3
Blu-Ray 3/11
Lamp 2/16
Song 8/17
Song 3/12
Phone 4/4
Lamp 1/3
MovieRental 12/24
Textbook 3/19
MovieRental 7/23
Lamp 7/14
Phone 12/11
Textbook 4/18
Lamp 4/16
Phone 2/13
Song 11/22
MovieRental 7/3
MovieRental 11/23
Shoes 12/10
Song 2/2
Blu-Ray 11/13
Song 12/12
Textbook 1/12
Blu-Ray 5/24
Textbook 6/16
Blu-Ray 7/8
Blu-Ray 6/11
Lamp 12/23
Lamp 6/9
Blu-Ray 11/5
Blu-Ray 12/17
Lamp 12/11
Textbook 1/6
Shoes 12/13
Shoes 2/22
Shoes 2/23
MovieRental 5/1
Lamp 1/17
Blu-Ray 7/5
Lamp 6/18
Blu-Ray 5/5
Lamp 4/14
MovieRental 11/24
Blu-Ray 1/3
Lamp 5/14
Phone 8/9
Phone 12/3
Phone 8/24
Blu-Ray 5/11
Blu-Ray 5/4
Phone 12/17
Blu-Ray 5/10
Textbook 9/16
Phone 12/12
Shoes 2/4
Textbook 9/14
Textbook 4/19
Lamp 11/14
Phone 3/18
Textbook 12/21
Phone 11/14
Shoes 8/22
Phone 8/11
MovieRental 6/8
Shoes 9/1
Blu-Ray 9/8
Lamp 6/22
Blu-Ray 2/14
Song 2/11
Lamp 11/2
Song 2/6
Blu-Ray 3/22
Shoes 9/4
Shoes 5/12
Shoes 11/12
Song 4/16
Blu-Ray 4/1
Textbook 9/19
Blu-Ray 10/8
Textbook 1/17
Phone 6/11
Textbook 10/17
Lamp 8/18
Song 1/22
Textbook 8/8
Lamp 8/16
Blu-Ray 10/13
Song 11/3
Shoes 1/21
Lamp 12/21
Textbook 6/16
Blu-Ray 12/2
Textbook 11/8
Lamp 12/7
MovieRental 11/13
Song 12/2
Lamp 12/19
Shoes 12/24
MovieRental 8/19
Shoes 1/8
MovieRental 5/10
Textbook 8/1
Song 10/4
Blu-Ray 1/15
Blu-Ray 3/8
MovieRental 9/18
Lamp 4/8
Phone 12/2
Textbook 4/10
Lamp 7/19
Lamp 7/2
Lamp 12/9
Lamp 1/17
Blu-Ray 5/16
Song 3/25
Shoes 10/4
Phone 6/15
Blu-Ray 12/13
MovieRental 9/13
Phone 7/22
Song 10/19
Song 10/17
Phone 12/13
Blu-Ray 8/24
Textbook 6/6
Phone 8/7
Song 7/1
Shoes 3/7
Lamp 9/11
Blu-Ray 11/10
Lamp 4/26
Phone 6/9
MovieRental 3/5
Lamp 7/2
Lamp 3/10
Blu-Ray 10/9
Blu-Ray 3/8
Textbook 9/20
Shoes 1/11
Blu-Ray 10/1
MovieRental 5/19
Lamp 7/16
Lamp 9/10
Textbook 7/2
Phone 12/8
Phone 3/2
Lamp 2/4
Shoes 11/12
MovieRental 9/17
Textbook 9/21
Phone 7/19
Textbook 9/1
Textbook 7/26
Blu-Ray 11/24
Phone 3/1
Shoes 3/11
Shoes 8/24
Textbook 2/7
MovieRental 9/6
Phone 12/4
Shoes 9/12
Phone 3/24
Phone 5/2
MovieRental 10/19
Phone 6/8
Lamp 8/6
Song 9/10
Textbook 8/10
Blu-Ray 12/1
MovieRental 1/10
MovieRental 3/24
Textbook 9/7
Song 11/1
Blu-Ray 4/24
Lamp 6/20
Song 12/12
Shoes 4/15
Phone 4/8
MovieRental 8/9
Blu-Ray 4/10
MovieRental 12/12
Phone 2/20
Blu-Ray 12/10
Textbook 1/21
Blu-Ray 4/10
MovieRental 6/15
Blu-Ray 10/8
Shoes 1/2
Phone 2/13
Phone 8/18
Blu-Ray 8/10
Blu-Ray 9/22
MovieRental 12/15
Shoes 8/2
Phone 11/17
Shoes 4/22
Blu-Ray 12/22
Lamp 12/2
Blu-Ray 4/10
Song 6/25
Blu-Ray 2/2
Textbook 9/21
Blu-Ray 9/19
Textbook 10/15
MovieRental 7/24
Lamp 2/7
MovieRental 11/19
Blu-Ray 5/26
Song 1/25
Lamp 4/5
Textbook 9/6
Shoes 6/16
Lamp 11/2
Phone 8/1
Shoes 3/2
Phone 11/12
Phone 4/17
Shoes 2/6
Textbook 10/16
Blu-Ray 3/19
Song 6/15
Textbook 6/14
MovieRental 10/5
Blu-Ray 4/17
Phone 2/16
Shoes 5/11
MovieRental 7/11
Blu-Ray 9/23
Blu-Ray 7/11
Shoes 10/5
Phone 11/15
Song 8/16
Shoes 11/10
Phone 1/17
Lamp 7/1
Blu-Ray 4/19
Phone 12/19
Phone 9/19
Phone 8/23
MovieRental 8/25
Song 2/16
Lamp 6/19
Lamp 2/7
Textbook 5/23
Song 3/4
Lamp 9/5
Song 10/5
Blu-Ray 12/21
Blu-Ray 3/16
Phone 4/11
Lamp 6/14
Shoes 9/12
Song 6/16
Song 2/9
MovieRental 6/20
Blu-Ray 8/12
Textbook 2/2
Textbook 3/17
Phone 8/13
Textbook 8/16
Blu-Ray 9/7
Blu-Ray 10/19
Lamp 12/22
Phone 9/18
Textbook 5/10
Lamp 12/6
Lamp 10/24
Blu-Ray 12/15
Phone 9/18
Lamp 10/7
Phone 1/20
Lamp 7/11
Song 4/18
Phone 11/6
Shoes 7/22
Song 12/23
Textbook 10/18
Textbook 3/9
Phone 3/10
MovieRental 10/21
Song 11/15
Textbook 4/16
Textbook 11/23
Shoes 10/25
Song 5/14
Blu-Ray 2/13
Song 11/10
Song 4/6
Lamp 12/1
Song 7/12
Shoes 10/26
Textbook 2/17
Textbook 1/9
Shoes 1/9
Lamp 9/19
Textbook 11/5
Phone 1/19
Lamp 11/13
Blu-Ray 9/23
Song 5/5
Song 4/11
Blu-Ray 8/11
Song 6/23
MovieRental 1/8
Blu-Ray 6/26
Blu-Ray 11/24
Shoes 2/22
Phone 11/18
Shoes 6/17
Shoes 1/15
Lamp 4/9
Blu-Ray 2/22
MovieRental 2/24
Shoes 1/6
Phone 3/3
Phone 7/16
Song 7/26
MovieRental 5/19
MovieRental 11/12
Phone 10/6
Phone 2/2
Textbook 6/14
Shoes 6/4
Textbook 2/10
Textbook 7/23
Shoes 10/22
Lamp 7/18
Lamp 1/22
