ClientId: 1159
Textbook 3/11
Textbook 8/9
Phone 12/9
Lamp 11/3
Blu-Ray 10/22
Shoes 10/7
Phone 10/16
Blu-Ray 10/24
Blu-Ray 1/9
Textbook 2/25
Phone 2/10
MovieRental 3/2
Lamp 2/5
Shoes 3/19
Textbook 10/12
MovieRental 3/7
Blu-Ray 2/7
MovieRental 4/11
MovieRental 1/24
Song 2/18
MovieRental 9/24
MovieRental 3/1
Phone 7/6
Blu-Ray 12/17
Blu-Ray 12/21
Phone 9/6
Blu-Ray 1/8
Song 6/2
Lamp 11/15
Song 3/14
Textbook 1/15
Shoes 5/25
Song 4/18
MovieRental 1/11
Textbook 5/8
Textbook 1/4
Textbook 7/2
Blu-Ray 8/1
Blu-Ray 1/19
Textbook 8/12
Phone 1/19
Lamp 10/22
MovieRental 2/24
Blu-Ray 5/22
Song 6/14
Textbook 9/2
Song 9/12
Lamp 11/8
MovieRental 11/21
Phone 8/5
Shoes 9/21
Lamp 3/7
Phone 9/17
MovieRental 10/14
Phone 6/1
Lamp 5/11
Phone 11/16
MovieRental 11/5
Shoes 8/12
Shoes 8/2
Blu-Ray 2/22
Song 1/3
Blu-Ray 8/23
Song 2/21
Phone 11/19
Blu-Ray 12/15
Phone 2/25
Song 7/8
Textbook 10/1
Shoes 5/9
Song 8/17
Textbook 11/24
Lamp 3/24
Phone 8/11
Phone 2/15
Lamp 10/4
Blu-Ray 7/17
Song 10/17
MovieRental 11/22
MovieRental 11/14
Shoes 12/8
Blu-Ray 5/2
Song 12/6
Lamp 9/15
Lamp 1/8
Phone 12/25
Phone 8/22
Textbook 10/23
Blu-Ray 5/21
Blu-Ray 3/18
Song 4/15
Song 3/7
Blu-Ray 3/19
Phone 12/14
Textbook 1/21
Shoes 5/17
Textbook 5/2
Lamp 9/18
MovieRental 1/19
Blu-Ray 1/1
Shoes 6/17
Phone 2/21
Song 3/12
MovieRental 11/8
MovieRental 1/19
Lamp 6/10
Song 6/11
Phone 10/4
Phone 12/15
MovieRental 2/17
Shoes 9/3
Lamp 8/9
Song 9/21
Lamp 10/4
Lamp 9/22
Phone 10/22
Song 9/7
Textbook 3/22
Shoes 4/5
MovieRental 6/1
Song 7/16
Textbook 3/13
Shoes 7/7
Textbook 3/2
Textbook 3/26
Textbook 4/12
Blu-Ray 7/2
Phone 7/19
Blu-Ray 1/3
Phone 9/23
Phone 12/18
MovieRental 7/14
Shoes 12/8
Shoes 6/16
Shoes 7/19
Blu-Ray 10/12
Blu-Ray 5/20
Textbook 3/12
Blu-Ray 6/22
Song 9/15
Phone 1/15
MovieRental 4/16
Lamp 10/13
Blu-Ray 2/23
Song 7/20
Shoes 11/8
Blu-Ray 5/3
Phone 12/9
Textbook 8/4
Lamp 5/1
Lamp 10/25
Blu-Ray 9/5
Textbook 3/18
Song 10/3
MovieRental 3/19
MovieRental 12/10
Phone 10/26
MovieRental 8/7
MovieRental 2/14
Song 11/5
Song 11/5
Phone 11/26
Lamp 4/18
Shoes 6/18
Lamp 12/23
Shoes 3/15
MovieRental 7/21
Phone 9/8
Shoes 10/16
Song 4/11
Textbook 2/20
Song 11/10
Textbook 12/14
Blu-Ray 6/16
MovieRental 3/10
Phone 4/26
Shoes 12/18
MovieRental 1/23
Textbook 8/25
Phone 9/21
Textbook 3/6
Lamp 7/2
Shoes 3/25
Shoes 4/3
Song 3/11
Song 5/19
Song 10/12
Phone 2/13
Phone 7/9
Song 10/11
Textbook 11/26
Song 2/11
Phone 7/22
Textbook 11/16
Song 1/19
Shoes 12/19
Song 9/5
MovieRental 11/6
Shoes 11/20
Shoes 11/21
Blu-Ray 8/15
Lamp 7/5
Phone 6/22
Shoes 12/16
Shoes 7/25
Song 6/5
Phone 3/23
Textbook 6/16
Textbook 10/4
Blu-Ray 10/13
Song 3/11
Shoes 8/3
Blu-Ray 1/26
Blu-Ray 8/10
Lamp 6/18
Textbook 7/6
Phone 2/22
Song 3/25
Shoes 2/10
Textbook 9/21
Lamp 11/18
MovieRental 4/23
Phone 1/23
Blu-Ray 11/11
Shoes 5/15
Phone 1/22
Blu-Ray 12/14
Blu-Ray 10/6
Textbook 8/17
Blu-Ray 7/5
Textbook 8/18
Song 9/3
Shoes 11/10
Phone 2/14
Phone 9/24
Shoes 8/18
Shoes 11/15
Blu-Ray 5/22
MovieRental 2/11
Shoes 1/6
Blu-Ray 12/8
MovieRental 5/9
Lamp 8/22
Phone 12/4
Shoes 12/11
Song 11/22
Phone 4/26
Textbook 5/26
Song 1/17
Blu-Ray 8/23
Phone 8/21
Phone 9/19
Song 1/22
Shoes 2/13
Lamp 1/1
Blu-Ray 7/21
Phone 9/24
MovieRental 2/18
Phone 11/10
Lamp 4/13
Shoes 12/20
Phone 11/2
Textbook 10/23
Textbook 10/16
Lamp 11/4
Textbook 12/13
Lamp 5/24
Song 7/11
Song 3/18
Blu-Ray 2/2
Shoes 1/24
Lamp 9/10
Phone 2/17
Blu-Ray 7/14
Blu-Ray 12/8
Phone 3/15
MovieRental 2/11
Textbook 7/21
Shoes 12/11
Lamp 10/11
Phone 6/10
Song 8/16
Lamp 4/20
Textbook 3/1
Textbook 3/24
Textbook 2/7
Blu-Ray 2/24
Lamp 9/12
Blu-Ray 12/4
Lamp 1/7
Lamp 2/7
Shoes 6/2
Shoes 11/1
Lamp 3/19
Song 11/3
MovieRental 4/26
Blu-Ray 1/1
Phone 2/11
MovieRental 9/9
Shoes 9/26
Blu-Ray 4/18
Shoes 3/22
MovieRental 7/1
Song 9/10
Blu-Ray 4/17
Lamp 2/20
Textbook 2/25
Phone 12/23
Song 7/23
Textbook 5/7
Song 2/21
Phone 11/3
Phone 2/5
Textbook 4/6
Lamp 6/25
Textbook 1/5
Song 3/8
Song 2/16
Shoes 12/21
Textbook 10/19
Textbook 4/25
MovieRental 2/8
Shoes 11/3
Textbook 5/7
MovieRental 3/5
Shoes 6/25
MovieRental 1/16
Phone 3/17
MovieRental 7/21
Song 6/9
MovieRental 12/25
Textbook 3/23
Song 10/5
Lamp 10/20
MovieRental 9/11
Lamp 2/12
Lamp 10/9
Song 9/16
Shoes 8/7
Phone 7/22
Lamp 8/9
Phone 9/3
Shoes 3/8
Phone 8/13
Blu-Ray 2/4
Shoes 11/19
MovieRental 6/4
Blu-Ray 4/3
Shoes 5/13
Lamp 12/26
Lamp 4/3
Shoes 2/23
Lamp 7/3
MovieRental 10/25
Lamp 1/17
Song 3/14
Shoes 8/11
Phone 10/1
Textbook 12/3
Phone 4/4
Textbook 3/10
Textbook 11/23
MovieRental 11/14
Shoes 3/19
