ClientId: 1247
MovieRental 6/1
Phone 3/23
Textbook 7/14
Lamp 6/23
Textbook 6/3
Phone 4/6
Blu-Ray 11/8
Blu-Ray 5/11
MovieRental 2/3
Lamp 3/7
Blu-Ray 11/21
Textbook 8/9
Lamp 12/4
Lamp 12/12
Phone 1/16
Blu-Ray 1/25
MovieRental 10/20
Phone 5/18
Shoes 7/14
Song 9/26
MovieRental 12/20
MovieRental 10/6
Lamp 6/6
Phone 1/8
Song 7/16
Phone 8/20
Song 2/21
Phone 11/26
Phone 12/12
Song 7/4
Shoes 1/3
MovieRental 5/15
Blu-Ray 4/4
MovieRental 12/12
MovieRental 2/14
Song 7/12
Lamp 5/25
Textbook 3/20
Shoes 1/17
Lamp 10/14
Textbook 1/15
MovieRental 11/6
Blu-Ray 11/15
Song 10/25
MovieRental 1/13
Textbook 3/10
Shoes 9/8
Lamp 9/26
MovieRental 1/6
Song 9/9
Textbook 7/3
MovieRental 4/14
Blu-Ray 8/17
Song 9/16
Textbook 9/2
Blu-Ray 7/22
MovieRental 5/4
Shoes 8/16
Song 9/9
Song 12/16
MovieRental 4/20
MovieRental 9/2
MovieRental 5/23
Phone 12/21
MovieRental 9/3
Song 5/10
Lamp 12/12
Lamp 1/9
Lamp 4/16
Lamp 2/13
Lamp 9/15
Song 5/15
Lamp 6/24
Phone 9/12
Textbook 3/20
Phone 9/21
Textbook 11/9
Lamp 2/10
Lamp 8/16
Blu-Ray 7/25
MovieRental 12/9
MovieRental 10/20
Song 10/19
Phone 1/13
Blu-Ray 4/12
Textbook 4/10
Song 9/15
Song 2/15
Phone 12/19
Textbook 12/5
MovieRental 10/13
Lamp 11/19
Song 8/5
Shoes 8/25
Blu-Ray 7/14
Phone 7/17
Blu-Ray 9/12
Blu-Ray 9/19
Blu-Ray 7/2
Blu-Ray 12/9
Lamp 5/14
Shoes 11/4
Lamp 7/4
Phone 6/16
Song 2/18
Song 2/11
Lamp 1/9
Lamp 7/26
Song 3/25
Blu-Ray 12/7
Shoes 5/18
Blu-Ray 6/22
Shoes 12/19
Shoes 4/2
Lamp 5/11
Blu-Ray 5/11
Lamp 1/14
Phone 9/20
Phone 7/7
Lamp 5/1
Textbook 7/3
Song 5/3
Textbook 11/7
Textbook 12/17
Lamp 12/4
Phone 8/4
Blu-Ray 4/21
Song 5/17
Song 8/8
Textbook 4/23
Shoes 9/17
Blu-Ray 9/22
Song 9/14
Phone 4/6
MovieRental 6/20
Phone 2/1
Textbook 4/7
Textbook 5/14
Blu-Ray 7/12
Blu-Ray 2/3
Shoes 5/4
MovieRental 2/25
Phone 9/6
Textbook 6/26
MovieRental 6/20
Phone 11/24
Shoes 7/23
