ClientId: 1116
Lamp 7/18
Shoes 1/5
Textbook 7/9
Lamp 1/24
Song 1/25
Phone 12/3
Textbook 3/5
Song 4/10
Shoes 9/10
Song 8/20
MovieRental 10/21
Textbook 9/20
Shoes 9/25
Song 7/13
Phone 5/25
Phone 4/2
Textbook 4/5
Textbook 1/12
Shoes 7/21
Song 6/2
Lamp 10/14
Lamp 3/10
Blu-Ray 4/22
Lamp 2/1
Song 1/4
Song 1/15
Shoes 6/12
Shoes 11/3
Blu-Ray 9/8
Textbook 10/4
Blu-Ray 12/15
Shoes 5/8
Phone 10/25
Song 2/11
Blu-Ray 1/16
Shoes 10/13
Lamp 6/5
Phone 1/20
Shoes 2/12
Song 2/13
Lamp 9/14
Shoes 6/13
Phone 3/22
Lamp 7/26
Shoes 3/4
Phone 2/6
Blu-Ray 5/15
Shoes 12/13
Phone 9/10
Song 8/12
Phone 9/10
MovieRental 12/25
Textbook 5/25
Textbook 2/26
Blu-Ray 6/14
Phone 4/22
Phone 5/25
Textbook 6/16
Shoes 4/15
MovieRental 5/19
Shoes 9/19
Lamp 10/2
MovieRental 5/25
Shoes 11/24
MovieRental 8/12
MovieRental 6/6
MovieRental 6/8
Shoes 4/17
Lamp 3/2
Blu-Ray 1/23
Song 10/1
Blu-Ray 10/15
Phone 4/8
Song 11/11
MovieRental 11/11
Song 5/8
Blu-Ray 6/18
Song 3/10
Song 5/25
Phone 8/24
Song 11/26
Shoes 12/10
Shoes 4/17
Phone 2/12
Phone 4/6
MovieRental 6/4
Blu-Ray 11/19
Shoes 12/15
Lamp 2/5
Lamp 2/10
MovieRental 12/21
Shoes 3/22
Blu-Ray 6/14
Textbook 2/13
Shoes 4/6
Lamp 8/13
Shoes 1/22
MovieRental 5/2
Shoes 2/13
MovieRental 1/6
Textbook 6/25
Lamp 3/11
Shoes 3/2
MovieRental 7/18
Phone 5/20
MovieRental 11/22
Blu-Ray 1/21
Song 9/8
Blu-Ray 5/4
Textbook 1/4
Phone 1/13
Textbook 5/1
Shoes 3/6
Textbook 1/22
Song 4/3
Shoes 12/14
Song 2/18
Phone 2/12
Song 7/20
Lamp 9/8
Lamp 11/12
Phone 11/22
Phone 11/22
Shoes 3/18
Phone 5/26
Song 2/14
Blu-Ray 4/11
Textbook 12/19
MovieRental 3/12
Phone 3/15
MovieRental 9/14
Textbook 11/4
Song 6/7
Shoes 8/12
Phone 1/14
Lamp 5/14
Shoes 1/4
MovieRental 12/11
Song 1/18
Textbook 5/9
Blu-Ray 8/13
Textbook 9/25
Blu-Ray 9/11
Blu-Ray 10/1
Song 5/8
Song 3/20
Textbook 10/1
Lamp 10/6
MovieRental 11/8
Shoes 7/22
Phone 10/5
Blu-Ray 8/21
Lamp 1/24
Shoes 8/8
Song 7/5
Blu-Ray 6/7
Shoes 2/19
Shoes 1/5
Blu-Ray 6/1
Blu-Ray 2/12
Shoes 7/2
MovieRental 12/7
Blu-Ray 4/22
Lamp 3/10
Song 6/1
MovieRental 12/1
Lamp 11/16
Song 9/26
Song 4/20
Textbook 3/18
Phone 3/21
Phone 10/19
Shoes 7/19
Shoes 11/19
Phone 8/3
MovieRental 11/23
Lamp 4/15
MovieRental 6/2
Lamp 5/21
Blu-Ray 3/5
Textbook 2/15
Blu-Ray 4/9
MovieRental 3/20
Shoes 3/14
Blu-Ray 11/2
Blu-Ray 1/9
Shoes 11/8
Blu-Ray 8/25
Blu-Ray 10/9
MovieRental 1/7
Lamp 2/20
MovieRental 10/10
Lamp 3/13
Lamp 9/4
Blu-Ray 6/11
MovieRental 6/9
Phone 4/5
Song 2/4
Phone 6/17
Lamp 6/21
Song 5/11
Lamp 1/17
MovieRental 8/25
Shoes 4/23
Textbook 10/5
Phone 10/11
MovieRental 12/20
Shoes 1/5
Lamp 4/19
Phone 11/8
Phone 9/13
MovieRental 5/18
Lamp 9/24
Textbook 2/5
Textbook 11/22
Textbook 5/2
Song 6/16
Lamp 10/2
Phone 11/4
Phone 5/7
Textbook 11/17
Song 11/24
MovieRental 12/5
Blu-Ray 4/5
Textbook 7/13
Phone 5/4
Textbook 3/22
Shoes 2/24
Textbook 11/16
Shoes 11/24
Lamp 2/11
MovieRental 4/23
Song 4/5
Lamp 5/22
