ClientId: 1346
Shoes 9/6
Shoes 8/8
Shoes 7/10
Shoes 12/16
Lamp 6/23
Textbook 8/16
Shoes 4/2
Blu-Ray 5/4
MovieRental 12/8
Lamp 10/18
MovieRental 8/14
MovieRental 3/15
Shoes 12/5
Phone 1/17
Lamp 9/7
MovieRental 9/20
Shoes 3/16
Lamp 10/3
Shoes 12/25
Song 1/20
Blu-Ray 2/15
Lamp 5/23
Shoes 5/8
Lamp 6/21
Shoes 3/12
Blu-Ray 7/23
Textbook 7/14
Textbook 10/3
Shoes 8/18
Textbook 6/26
Phone 6/17
Shoes 7/25
Shoes 10/16
Song 11/25
MovieRental 12/9
Song 9/21
MovieRental 10/14
Phone 3/14
Song 2/23
Lamp 6/7
Song 1/15
Lamp 11/8
Textbook 12/6
Textbook 6/1
Song 2/6
Shoes 1/13
Shoes 4/6
Song 6/24
Song 8/7
MovieRental 11/19
Shoes 4/21
Song 8/25
Phone 1/11
Blu-Ray 3/4
MovieRental 8/8
Lamp 12/15
Shoes 10/4
Song 4/19
Shoes 3/23
Blu-Ray 10/9
Textbook 7/12
Textbook 6/7
Lamp 2/25
Textbook 9/17
MovieRental 10/1
Lamp 5/16
Blu-Ray 6/15
Lamp 8/16
Blu-Ray 12/14
Shoes 8/22
Song 11/12
Blu-Ray 4/16
Song 4/14
Phone 8/23
MovieRental 3/23
Blu-Ray 11/17
Phone 12/14
Shoes 10/21
Textbook 1/25
Textbook 12/6
Blu-Ray 2/20
Phone 4/20
Phone 11/4
Phone 7/11
Textbook 11/14
Phone 1/18
Shoes 3/15
MovieRental 2/3
Lamp 8/6
Phone 1/12
Lamp 12/17
Phone 10/8
Textbook 7/20
Blu-Ray 3/24
MovieRental 2/18
Blu-Ray 10/2
MovieRental 6/14
Lamp 8/1
Textbook 9/9
Shoes 3/17
Lamp 10/3
Lamp 2/22
Shoes 11/15
Textbook 9/6
Lamp 1/22
MovieRental 10/2
Lamp 10/3
Textbook 5/14
Phone 1/10
MovieRental 12/24
Shoes 7/25
Blu-Ray 11/17
Lamp 6/20
Phone 1/11
Blu-Ray 1/8
Song 11/1
Lamp 5/26
MovieRental 6/10
Lamp 10/8
Phone 5/17
Song 3/7
Blu-Ray 12/15
Phone 8/18
MovieRental 10/4
Textbook 8/9
Textbook 8/18
Textbook 2/14
Phone 2/6
MovieRental 12/9
Song 1/13
Blu-Ray 1/1
Blu-Ray 8/9
Textbook 5/18
MovieRental 9/4
Shoes 10/2
Shoes 5/21
Blu-Ray 8/26
Song 9/7
MovieRental 1/13
Blu-Ray 9/11
Textbook 6/4
Phone 2/1
Song 3/14
Textbook 11/1
Lamp 11/6
Song 1/8
Textbook 6/18
Phone 12/2
Blu-Ray 9/13
MovieRental 10/3
MovieRental 2/11
Shoes 4/10
Shoes 10/8
Textbook 2/26
Lamp 6/2
Blu-Ray 1/2
Textbook 8/11
Phone 10/25
Blu-Ray 1/7
Lamp 5/20
