ClientId: 1020
MovieRental 1/7
Lamp 9/5
Lamp 9/12
Blu-Ray 6/5
Phone 8/1
Phone 5/17
Song 4/19
Phone 5/12
Textbook 5/5
Textbook 1/1
Song 6/5
Lamp 10/17
Lamp 9/11
Lamp 12/22
Blu-Ray 12/13
Textbook 12/2
Blu-Ray 4/6
MovieRental 11/3
Phone 4/17
Textbook 4/12
Song 1/20
MovieRental 4/7
Song 5/13
Shoes 4/16
Song 9/25
MovieRental 4/25
Blu-Ray 10/7
Song 3/26
MovieRental 8/16
Shoes 3/18
Lamp 9/23
Textbook 1/8
MovieRental 2/3
Song 6/9
Blu-Ray 11/26
Blu-Ray 11/16
Phone 4/24
Textbook 9/23
Shoes 5/18
Phone 3/23
Song 7/3
Phone 6/18
MovieRental 11/3
Shoes 11/6
Textbook 3/12
Textbook 5/12
Textbook 6/15
Blu-Ray 3/19
Textbook 10/14
Textbook 3/3
Lamp 4/16
MovieRental 12/12
Phone 11/26
Textbook 12/22
Blu-Ray 7/24
Blu-Ray 7/6
Blu-Ray 5/26
Song 1/3
Phone 10/9
Shoes 7/9
Shoes 1/17
MovieRental 3/23
MovieRental 4/18
Phone 12/1
MovieRental 7/19
Lamp 9/20
Phone 9/23
Song 2/8
Textbook 2/18
Lamp 12/4
Blu-Ray 3/13
Blu-Ray 10/13
Lamp 4/5
Lamp 1/15
MovieRental 2/9
Phone 4/19
Textbook 9/18
Blu-Ray 12/11
Lamp 11/5
Phone 2/3
Shoes 9/18
Lamp 1/4
Blu-Ray 10/11
MovieRental 12/23
Phone 8/4
Blu-Ray 1/23
Phone 12/5
MovieRental 5/12
Phone 1/10
Shoes 10/2
Shoes 7/26
Song 10/4
Shoes 3/9
Lamp 11/6
Blu-Ray 6/9
Lamp 6/24
Textbook 4/23
Shoes 7/19
MovieRental 5/4
Shoes 6/1
Shoes 5/9
Textbook 5/11
Phone 10/8
Textbook 11/11
Song 3/9
Blu-Ray 7/8
Song 3/18
Song 11/5
Song 7/21
Lamp 8/7
Lamp 8/19
Shoes 9/16
Song 1/8
MovieRental 11/17
Lamp 4/6
MovieRental 8/7
Song 4/16
Blu-Ray 6/5
MovieRental 12/17
Textbook 11/17
Shoes 10/25
Shoes 3/15
MovieRental 8/26
MovieRental 11/18
Lamp 8/14
Blu-Ray 3/15
Phone 1/14
Phone 6/15
Song 4/15
Shoes 9/2
Blu-Ray 1/3
Textbook 1/19
Textbook 1/18
Song 1/6
MovieRental 2/4
Phone 1/8
Shoes 5/11
Shoes 11/1
Blu-Ray 3/7
Blu-Ray 2/20
Shoes 5/6
Shoes 10/18
Song 4/8
MovieRental 1/17
MovieRental 8/12
Song 7/12
Song 1/18
Blu-Ray 4/2
Phone 3/21
Blu-Ray 11/21
Shoes 10/16
Blu-Ray 12/3
Song 8/23
Blu-Ray 1/2
Shoes 9/8
Shoes 11/9
Lamp 6/7
Shoes 6/18
Shoes 11/7
Song 12/17
MovieRental 3/17
Shoes 1/16
Blu-Ray 12/19
Song 5/15
Phone 6/26
MovieRental 12/16
Lamp 6/19
Textbook 8/24
Phone 1/25
Shoes 9/19
Shoes 1/10
Song 2/10
Lamp 8/22
Blu-Ray 6/17
Song 1/25
Textbook 1/11
Blu-Ray 3/4
Shoes 8/2
Lamp 10/9
Blu-Ray 12/8
Blu-Ray 5/12
Blu-Ray 6/26
Lamp 12/22
MovieRental 9/20
MovieRental 10/14
Blu-Ray 2/6
Blu-Ray 11/11
Phone 6/1
Shoes 7/7
Textbook 5/18
Song 1/18
Lamp 1/13
Textbook 10/13
Shoes 9/13
Phone 7/7
Textbook 12/24
Phone 12/11
Shoes 9/9
MovieRental 12/11
Shoes 1/12
MovieRental 12/9
Phone 9/6
Textbook 5/2
Textbook 3/23
MovieRental 10/11
Blu-Ray 3/17
MovieRental 5/14
Shoes 9/10
MovieRental 5/1
Lamp 2/17
Textbook 1/15
Phone 8/4
Song 6/24
Blu-Ray 9/21
MovieRental 12/9
Blu-Ray 1/5
Lamp 4/12
Blu-Ray 12/2
Phone 4/11
Shoes 5/9
Phone 6/21
Blu-Ray 3/20
MovieRental 6/26
MovieRental 12/2
Blu-Ray 1/10
Shoes 12/12
Shoes 9/11
MovieRental 12/4
Shoes 7/5
Lamp 9/10
Blu-Ray 10/1
Textbook 3/17
Song 5/13
Phone 11/3
Lamp 11/12
Textbook 10/8
Textbook 4/4
MovieRental 2/19
Shoes 1/11
Blu-Ray 10/22
Lamp 11/21
Blu-Ray 9/12
MovieRental 12/14
MovieRental 7/24
Phone 6/22
MovieRental 1/17
Song 3/12
MovieRental 12/25
Lamp 3/6
Textbook 10/18
Phone 11/1
MovieRental 6/26
Lamp 2/12
Blu-Ray 10/11
Lamp 5/8
MovieRental 10/10
Shoes 7/24
Song 3/11
Textbook 2/19
Blu-Ray 6/1
Blu-Ray 11/5
Lamp 7/6
Song 12/21
MovieRental 7/11
Textbook 1/19
Shoes 7/18
MovieRental 8/8
Phone 9/6
Textbook 10/13
Lamp 6/16
Song 5/26
Phone 4/1
Textbook 12/6
Song 1/20
Lamp 2/7
MovieRental 11/22
Phone 9/21
Lamp 9/18
Lamp 12/20
Blu-Ray 7/24
MovieRental 3/14
Shoes 8/1
Textbook 9/18
Shoes 2/6
Textbook 5/9
Blu-Ray 12/15
Song 5/25
Lamp 2/15
Phone 12/17
Textbook 8/10
Blu-Ray 2/18
Textbook 6/14
