ClientId: 1271
Lamp 2/8
Song 2/9
Song 7/6
Phone 7/7
Shoes 5/19
Blu-Ray 6/19
Blu-Ray 6/18
Textbook 4/6
Lamp 4/11
Phone 12/11
Blu-Ray 1/16
Textbook 2/2
Textbook 7/11
MovieRental 10/5
Phone 11/8
Blu-Ray 9/22
Lamp 10/9
Phone 2/5
MovieRental 3/16
Shoes 10/10
Textbook 10/10
MovieRental 8/25
Phone 2/7
Textbook 1/19
Shoes 5/20
Song 9/13
Blu-Ray 12/23
Shoes 9/18
Phone 9/10
Textbook 2/7
MovieRental 1/19
Phone 1/6
Phone 1/2
MovieRental 2/9
Textbook 11/20
Blu-Ray 4/3
Song 4/24
Shoes 6/18
MovieRental 3/26
Phone 3/17
Lamp 8/2
Blu-Ray 7/2
Phone 2/3
Lamp 11/17
Textbook 7/14
Lamp 11/5
Blu-Ray 6/3
Textbook 5/11
Blu-Ray 4/3
Textbook 9/10
Shoes 1/3
Song 8/13
Song 4/17
Song 2/7
Textbook 2/10
Lamp 10/15
Textbook 11/17
MovieRental 12/13
Phone 3/13
Textbook 4/25
Phone 7/16
Textbook 10/12
Phone 11/3
MovieRental 1/6
Blu-Ray 1/9
Song 7/17
MovieRental 2/26
MovieRental 11/9
Blu-Ray 8/2
Song 9/13
Lamp 2/4
Blu-Ray 4/3
Textbook 10/14
MovieRental 10/26
Song 9/17
Shoes 8/19
Textbook 9/24
Textbook 9/6
Shoes 10/22
Phone 3/21
Song 3/11
Lamp 2/18
Lamp 1/20
Lamp 3/16
Shoes 7/10
Phone 12/24
Blu-Ray 7/17
MovieRental 8/26
Lamp 2/3
Phone 1/12
Textbook 10/3
Phone 7/2
Phone 9/1
Textbook 9/16
Blu-Ray 5/16
Lamp 5/23
Shoes 4/23
Phone 4/20
Blu-Ray 4/7
Shoes 8/26
Lamp 10/17
Textbook 5/13
MovieRental 12/15
Phone 2/4
Song 12/13
Song 7/22
Blu-Ray 11/24
Blu-Ray 10/13
Textbook 2/8
Textbook 11/6
Blu-Ray 12/5
Shoes 1/26
MovieRental 5/20
Blu-Ray 2/11
Shoes 5/4
Phone 1/13
Phone 8/12
Textbook 2/21
MovieRental 8/4
Shoes 7/2
Blu-Ray 5/7
Textbook 7/4
Song 12/18
Textbook 12/4
Blu-Ray 4/26
MovieRental 6/1
Textbook 6/26
MovieRental 10/24
Shoes 11/23
Blu-Ray 9/7
MovieRental 5/11
Phone 7/25
Blu-Ray 1/3
Song 7/6
MovieRental 12/17
Blu-Ray 7/2
Song 1/14
MovieRental 9/16
Phone 2/19
MovieRental 6/23
Lamp 2/23
Lamp 11/9
MovieRental 3/17
MovieRental 12/1
MovieRental 5/8
Textbook 3/20
Lamp 2/14
Lamp 12/2
Phone 3/19
Shoes 7/2
Phone 2/19
Song 9/25
Lamp 2/14
Lamp 10/25
Blu-Ray 11/10
Lamp 1/23
Textbook 4/5
Blu-Ray 10/6
Lamp 6/7
Shoes 12/1
Phone 3/11
Shoes 11/19
Lamp 9/16
MovieRental 9/13
Shoes 11/11
Textbook 7/17
Phone 3/7
Phone 7/13
Lamp 1/17
Lamp 9/5
Lamp 11/13
Textbook 10/20
Blu-Ray 8/2
Song 3/24
Blu-Ray 3/3
MovieRental 10/17
Shoes 4/13
Song 4/2
Song 3/24
Textbook 3/24
Shoes 8/26
Blu-Ray 1/3
Song 4/3
Phone 11/11
Song 9/16
Textbook 7/3
Blu-Ray 5/5
Blu-Ray 4/15
Textbook 4/3
Blu-Ray 1/19
MovieRental 2/18
Textbook 2/22
MovieRental 3/6
Lamp 12/18
Shoes 8/15
Shoes 4/20
Song 9/3
Textbook 9/19
Textbook 7/9
Phone 11/11
Phone 4/23
Textbook 9/20
Shoes 2/2
Shoes 4/15
Textbook 1/4
MovieRental 8/15
Lamp 5/18
Phone 3/25
Lamp 4/11
Lamp 6/19
Textbook 2/6
Song 9/12
Phone 10/24
Phone 2/18
Shoes 7/15
MovieRental 4/9
Song 8/6
Shoes 5/13
MovieRental 12/6
Phone 7/6
Lamp 5/3
Blu-Ray 11/22
Phone 9/4
Shoes 12/9
Lamp 3/10
Shoes 10/22
Shoes 2/7
Blu-Ray 5/15
Phone 10/25
Song 12/11
Lamp 3/12
Phone 7/4
MovieRental 11/4
Textbook 12/5
Textbook 10/10
Song 2/17
