ClientId: 1057
MovieRental 12/3
Shoes 9/19
Lamp 12/13
Song 2/11
Blu-Ray 7/2
Textbook 12/24
Blu-Ray 4/17
Song 8/14
MovieRental 8/3
Blu-Ray 4/25
MovieRental 10/12
Lamp 12/12
MovieRental 7/9
Phone 12/12
MovieRental 11/23
Lamp 4/9
Lamp 8/10
Shoes 10/18
Shoes 3/26
Song 9/5
Shoes 10/7
Blu-Ray 12/2
Textbook 7/18
Song 9/24
Phone 4/5
Song 6/10
Textbook 12/20
Song 10/13
Shoes 6/15
Blu-Ray 2/22
MovieRental 5/22
Song 5/8
Textbook 9/13
Lamp 12/19
Phone 12/24
Phone 10/20
Textbook 7/7
MovieRental 8/3
Phone 7/15
Shoes 10/16
Lamp 3/6
Lamp 11/20
Shoes 11/16
Blu-Ray 7/10
Song 8/14
Lamp 3/23
MovieRental 10/6
Blu-Ray 2/22
Textbook 9/18
Shoes 6/15
Lamp 9/13
Lamp 4/3
Lamp 12/5
Lamp 9/4
MovieRental 4/24
Textbook 1/13
Phone 11/1
Song 11/24
Lamp 2/10
Phone 6/18
Phone 5/7
MovieRental 12/4
Blu-Ray 6/26
Blu-Ray 6/26
Lamp 5/22
Song 9/22
Blu-Ray 1/2
Lamp 2/7
Shoes 7/23
Lamp 1/25
Phone 5/8
Phone 10/22
Song 8/18
MovieRental 6/19
Shoes 6/10
Lamp 9/21
Textbook 8/21
Textbook 11/1
Shoes 4/17
Blu-Ray 10/26
Shoes 11/13
MovieRental 6/20
Shoes 2/4
Lamp 9/20
Textbook 3/18
Blu-Ray 2/5
Blu-Ray 7/20
MovieRental 4/3
Blu-Ray 2/1
Blu-Ray 2/7
Shoes 10/23
Textbook 2/17
Lamp 8/4
Textbook 9/24
MovieRental 12/9
Blu-Ray 10/25
MovieRental 9/13
Song 6/18
Blu-Ray 1/2
Shoes 2/21
Textbook 9/26
Phone 1/12
Phone 11/24
Lamp 8/22
Song 4/18
Blu-Ray 4/24
Lamp 5/12
Song 6/12
Textbook 9/7
MovieRental 8/3
Phone 12/25
Song 2/5
Textbook 11/16
Lamp 11/17
Shoes 9/2
MovieRental 12/12
MovieRental 3/25
Song 3/5
MovieRental 11/15
Blu-Ray 3/23
Textbook 10/6
Song 2/23
Song 11/11
Textbook 4/21
MovieRental 11/5
MovieRental 1/1
MovieRental 10/18
Lamp 2/17
MovieRental 4/20
Shoes 7/3
Song 10/4
Lamp 11/10
Textbook 6/1
Textbook 11/1
Shoes 1/26
Shoes 8/9
Textbook 10/19
Lamp 1/8
Lamp 3/8
Shoes 3/1
Song 12/6
Textbook 2/11
Blu-Ray 7/5
Blu-Ray 7/12
Phone 12/24
Song 12/20
Textbook 2/26
Phone 5/7
Phone 1/10
Song 4/23
Blu-Ray 9/12
Shoes 11/15
Shoes 6/17
Blu-Ray 12/26
Phone 9/5
Song 2/7
Textbook 5/26
MovieRental 8/2
Lamp 8/18
Song 12/25
Lamp 10/11
Phone 1/12
Shoes 11/25
Phone 8/11
Shoes 2/20
Lamp 6/23
Shoes 2/12
Textbook 9/5
Shoes 3/3
Lamp 6/21
Textbook 8/21
MovieRental 11/11
Phone 1/20
Lamp 5/20
Shoes 9/23
Lamp 9/11
Textbook 6/5
MovieRental 2/16
Blu-Ray 2/10
MovieRental 9/10
Song 3/25
Textbook 2/9
Textbook 8/2
Song 1/3
MovieRental 6/1
Phone 11/26
Song 8/8
MovieRental 3/25
Blu-Ray 4/9
MovieRental 10/18
Shoes 4/14
Phone 8/23
Phone 12/18
Blu-Ray 8/23
Textbook 12/22
Song 10/21
Lamp 5/25
Blu-Ray 4/16
Song 11/26
Song 5/16
Shoes 2/3
Lamp 11/5
MovieRental 1/3
MovieRental 10/3
Song 8/4
Lamp 1/23
MovieRental 5/12
Shoes 7/14
Song 2/11
Song 8/3
Blu-Ray 7/23
Lamp 11/12
Shoes 9/3
Shoes 3/19
Song 6/20
Shoes 4/3
Song 7/6
Lamp 4/17
Shoes 5/14
MovieRental 8/14
Phone 10/25
Phone 11/4
Blu-Ray 4/5
Shoes 4/11
Blu-Ray 1/5
Blu-Ray 3/26
Textbook 5/5
Shoes 7/14
MovieRental 11/20
Textbook 8/15
Shoes 8/11
Phone 2/19
MovieRental 7/7
Shoes 7/14
Phone 4/19
Lamp 1/7
Blu-Ray 9/12
Shoes 10/9
Shoes 4/20
Lamp 3/4
Song 12/3
Blu-Ray 12/19
Phone 3/11
Shoes 8/4
Lamp 9/23
Song 8/8
Song 9/15
Blu-Ray 7/20
Blu-Ray 8/22
Song 6/21
Lamp 6/19
Blu-Ray 7/1
MovieRental 5/9
Lamp 12/16
Song 8/6
MovieRental 6/18
Textbook 2/16
Song 3/15
Song 2/5
Song 1/19
Phone 12/9
Blu-Ray 2/18
Lamp 4/5
Lamp 12/10
Textbook 11/1
MovieRental 3/11
Song 7/15
Blu-Ray 11/19
Blu-Ray 4/24
Phone 5/13
Lamp 5/14
Lamp 11/9
Shoes 11/10
Song 6/24
Blu-Ray 9/14
Textbook 6/23
Shoes 10/7
Lamp 6/5
Song 5/10
