ClientId: 1312
Phone 2/16
MovieRental 10/11
Textbook 11/18
Lamp 12/8
MovieRental 3/4
Shoes 3/18
Blu-Ray 2/15
Phone 10/9
Phone 2/1
Phone 7/23
Song 9/10
Song 3/5
Phone 8/12
Lamp 6/5
MovieRental 7/13
Lamp 12/8
MovieRental 10/26
Blu-Ray 5/23
Lamp 10/13
Phone 10/13
Phone 2/23
Phone 5/11
Shoes 10/10
Phone 9/25
Shoes 10/17
Shoes 1/3
Song 3/7
Lamp 5/24
MovieRental 3/22
Song 2/23
Blu-Ray 8/22
Phone 2/23
Song 12/15
Textbook 9/19
Blu-Ray 9/15
Song 7/4
Shoes 3/25
MovieRental 4/5
Song 1/24
MovieRental 4/3
Shoes 6/9
Shoes 1/19
Lamp 7/11
Shoes 10/14
Phone 12/20
MovieRental 8/15
Textbook 2/16
MovieRental 8/9
MovieRental 6/19
Textbook 4/7
Textbook 10/24
Blu-Ray 3/23
Song 5/24
Phone 7/16
Lamp 6/19
Textbook 6/10
MovieRental 5/7
MovieRental 3/25
Song 5/24
Phone 9/20
Phone 11/15
Textbook 5/16
MovieRental 5/6
MovieRental 9/20
Lamp 6/14
Song 12/9
Lamp 10/11
Shoes 2/4
MovieRental 12/17
Song 9/16
Lamp 5/16
Shoes 4/1
Phone 4/11
MovieRental 3/8
Song 7/24
Song 11/5
Phone 3/20
Song 10/3
Lamp 9/5
Phone 10/6
Song 4/26
Lamp 6/21
Song 10/10
MovieRental 10/17
Shoes 2/13
MovieRental 7/1
Blu-Ray 5/4
Song 9/8
Phone 1/21
Phone 7/13
Shoes 2/13
Textbook 10/16
MovieRental 5/6
MovieRental 8/3
MovieRental 8/21
Shoes 4/17
Textbook 6/21
Phone 12/14
Phone 1/20
Song 12/25
Blu-Ray 5/23
Blu-Ray 7/22
Song 8/26
Blu-Ray 8/19
MovieRental 5/1
Song 12/19
Song 1/12
Blu-Ray 10/1
Shoes 10/24
MovieRental 7/18
Lamp 3/15
Phone 5/10
Phone 10/14
MovieRental 3/7
Song 11/1
Phone 3/3
Lamp 2/16
Song 5/2
Shoes 1/1
Phone 8/10
Textbook 1/9
Blu-Ray 1/24
MovieRental 11/19
Lamp 3/10
Textbook 9/3
Shoes 5/20
Blu-Ray 8/26
Song 7/6
Song 6/21
Shoes 4/1
Phone 3/20
Shoes 2/7
Blu-Ray 10/26
Textbook 8/13
Blu-Ray 1/9
Song 2/15
Shoes 7/21
Blu-Ray 1/8
Blu-Ray 4/3
Textbook 12/10
Song 1/22
Phone 11/8
Blu-Ray 12/6
Blu-Ray 11/9
MovieRental 10/8
MovieRental 3/16
Blu-Ray 9/1
Song 9/8
Phone 4/1
Textbook 9/8
Blu-Ray 12/16
Blu-Ray 5/15
Phone 4/23
Song 8/17
Shoes 4/20
MovieRental 5/26
Blu-Ray 1/11
Lamp 11/5
Shoes 5/10
Phone 10/17
Song 9/6
Textbook 9/13
Blu-Ray 3/10
Phone 11/16
Blu-Ray 9/23
Blu-Ray 6/26
Shoes 5/13
Textbook 11/12
Lamp 3/15
Textbook 2/17
Shoes 1/21
Blu-Ray 4/9
Phone 11/20
MovieRental 2/21
Song 4/1
Shoes 10/1
Song 11/23
MovieRental 9/18
Phone 12/7
MovieRental 8/23
Textbook 9/26
Lamp 11/8
Lamp 5/19
Song 2/15
Shoes 4/17
Shoes 5/7
Song 9/8
Textbook 7/23
Shoes 12/3
Phone 7/16
MovieRental 8/7
Shoes 5/19
MovieRental 10/7
Shoes 7/7
Phone 7/2
Phone 4/16
Textbook 7/9
Song 4/15
Song 10/22
Blu-Ray 4/4
Phone 1/18
MovieRental 10/13
Shoes 5/17
Lamp 3/22
MovieRental 9/17
Shoes 4/9
Lamp 4/21
Song 11/15
Song 5/2
Lamp 9/23
Lamp 11/10
Phone 5/24
Song 1/17
Blu-Ray 8/4
Lamp 9/26
Shoes 4/8
Blu-Ray 4/11
Phone 8/7
Shoes 10/13
MovieRental 5/4
Lamp 4/9
Textbook 7/9
Song 3/4
Textbook 8/8
Shoes 7/5
Phone 2/16
Textbook 1/20
MovieRental 3/8
Lamp 6/2
Shoes 6/24
Lamp 11/5
Blu-Ray 7/25
Blu-Ray 6/25
Blu-Ray 10/4
MovieRental 2/21
Textbook 4/26
Shoes 2/25
Blu-Ray 2/24
Blu-Ray 7/16
Blu-Ray 2/8
Phone 11/7
Lamp 5/8
Textbook 7/17
Blu-Ray 7/10
Shoes 3/8
MovieRental 6/17
Blu-Ray 10/5
Shoes 3/22
Song 8/8
Shoes 1/8
Song 6/25
Lamp 12/11
MovieRental 9/22
MovieRental 9/26
Blu-Ray 1/9
Song 10/6
Textbook 7/21
Song 1/17
Song 2/23
Phone 7/20
Phone 6/9
Phone 12/15
MovieRental 12/16
Phone 9/22
Song 12/12
Blu-Ray 2/6
Textbook 4/9
Shoes 4/9
Song 11/16
Song 3/24
Song 5/7
Blu-Ray 11/6
Song 3/15
Blu-Ray 3/23
Blu-Ray 12/18
Blu-Ray 6/25
MovieRental 11/16
Textbook 11/20
Song 2/18
Shoes 7/20
